"";"code_ecole";"nom_ecole";"commune";"academie";"densite";"secteur";"rep";"classes";"eleves"
"129";"0010412T";"ECOLE ELEMENTAIRE PUBLIQUE ECOLE D'OUTRIAZ";"OUTRIAZ";"LYON";"Rural à habitat dispersé";"PUBLIC";0;1;18
"154";"0010469E";"ECOLE PRIMAIRE PUBLIQUE -";"AMBUTRIX";"LYON";"Ceintures urbaines";"PUBLIC";0;3;59
"181";"0010529V";"ECOLE PRIMAIRE PUBLIQUE -";"RIGNIEUX-LE-FRANC";"LYON";"Bourgs ruraux";"PUBLIC";0;6;152
"331";"0010991X";"ECOLE MATERNELLE PUBLIQUE LA RODETTE";"BELLEY";"LYON";"Petites villes";"PUBLIC";0;5;98
"485";"0020121W";"ECOLE PRIMAIRE PUBLIQUE HEROU PASTEUR";"BILLY-SUR-AISNE";"AMIENS";"Bourgs ruraux";"PUBLIC";0;5;112
"550";"0020428E";"ECOLE PRIMAIRE PUBLIQUE -";"ESTREES";"AMIENS";"Rural à habitat dispersé";"PUBLIC";0;3;58
"558";"0020510U";"ECOLE ELEMENTAIRE PUBLIQUE -";"FESMY-LE-SART";"AMIENS";"Rural à habitat dispersé";"PUBLIC";0;1;18
"579";"0020639J";"ECOLE PRIMAIRE PUBLIQUE -";"DOMPTIN";"AMIENS";"Rural à habitat dispersé";"PUBLIC";0;4;84
"601";"0020744Y";"ECOLE ELEMENTAIRE PUBLIQUE PASTEUR";"TERGNIER";"AMIENS";"Centres urbains intermédiaires";"PUBLIC";0;10;175
"641";"0020941M";"ECOLE PRIMAIRE PUBLIQUE JEAN ROSTAND";"ITANCOURT";"AMIENS";"Bourgs ruraux";"PUBLIC";0;5;114
"710";"0021256E";"ECOLE ELEMENTAIRE PUBLIQUE -";"LA VALLEE-AU-BLE";"AMIENS";"Rural à habitat dispersé";"PUBLIC";0;2;45
"843";"0021675K";"ECOLE PRIMAIRE PUBLIQUE GR. SCOL. MAURICE BRUGNON";"SAINT-MICHEL";"AMIENS";"Bourgs ruraux";"PUBLIC";0;14;279
"844";"0021676L";"ECOLE PRIMAIRE PUBLIQUE GR.SCOL.PIERRE SEMARD";"GAUCHY";"AMIENS";"Ceintures urbaines";"PUBLIC";0;4;80
"870";"0021737C";"ECOLE PRIMAIRE PUBLIQUE -";"JUVINCOURT-ET-DAMARY";"AMIENS";"Rural à habitat dispersé";"PUBLIC";0;3;54
"876";"0021777W";"ECOLE MATERNELLE PUBLIQUE BOIS BLANCHARD";"CHATEAU-THIERRY";"AMIENS";"Centres urbains intermédiaires";"PUBLIC";1;8;140
"996";"0030239U";"ECOLE MATERNELLE PUBLIQUE -";"TREZELLES";"CLERMONT-FERRAND";"Rural à habitat dispersé";"PUBLIC";0;1;14
"1007";"0030269B";"ECOLE ELEMENTAIRE PUBLIQUE -";"ROCLES";"CLERMONT-FERRAND";"Rural à habitat très dispersé";"PUBLIC";0;1;17
"1020";"0030302M";"ECOLE ELEMENTAIRE PUBLIQUE JEAN RENOIR";"MONTLUCON";"CLERMONT-FERRAND";"Centres urbains intermédiaires";"PUBLIC";0;7;108
"1089";"0030467S";"ECOLE ELEMENTAIRE PUBLIQUE -";"VALIGNY";"CLERMONT-FERRAND";"Rural à habitat très dispersé";"PUBLIC";1;1;7
"1171";"0030650R";"ECOLE PRIMAIRE PUBLIQUE THEO CURIN";"ESPINASSE-VOZELLE";"CLERMONT-FERRAND";"Rural à habitat dispersé";"PUBLIC";0;4;91
"1181";"0030667J";"ECOLE ELEMENTAIRE PUBLIQUE -";"CHANTELLE";"CLERMONT-FERRAND";"Rural à habitat dispersé";"PUBLIC";0;4;82
"1184";"0030672P";"ECOLE PRIMAIRE PUBLIQUE -";"LA CHAPELLE";"CLERMONT-FERRAND";"Rural à habitat très dispersé";"PUBLIC";0;2;36
"1326";"0040166J";"ECOLE PRIMAIRE PRIVEE CATHOLIQUE SACRE COEUR";"DIGNE-LES-BAINS";"AIX-MARSEILLE";"Petites villes";"PRIVE";0;9;175
"1389";"0040305K";"ECOLE ELEMENTAIRE PUBLIQUE VERDUN";"SISTERON";"AIX-MARSEILLE";"Petites villes";"PUBLIC";0;6;113
"1413";"0040346E";"ECOLE PRIMAIRE PUBLIQUE LE PIGEONNIER";"DIGNE-LES-BAINS";"AIX-MARSEILLE";"Petites villes";"PUBLIC";0;5;91
"1420";"0040367C";"ECOLE ELEMENTAIRE PUBLIQUE SAINT LAZARE";"MANOSQUE";"AIX-MARSEILLE";"Centres urbains intermédiaires";"PUBLIC";0;7;158
"1425";"0040383V";"ECOLE PRIMAIRE JEANNE NEVIERE";"GREOUX-LES-BAINS";"AIX-MARSEILLE";"Bourgs ruraux";"PUBLIC";0;5;104
"1457";"0050082M";"ECOLE PRIMAIRE PUBLIQUE LES VIGNEAUX";"LES VIGNEAUX";"AIX-MARSEILLE";"Rural à habitat dispersé";"PUBLIC";0;2;42
"1487";"0050141B";"ECOLE PRIMAIRE PUBLIQUE RISOUL";"RISOUL";"AIX-MARSEILLE";"Rural à habitat dispersé";"PUBLIC";0;3;60
"1548";"0050419D";"ECOLE MATERNELLE PUBLIQUE GAP LE ROCHASSON";"GAP";"AIX-MARSEILLE";"Centres urbains intermédiaires";"PUBLIC";0;1;17
"1582";"0060114S";"ECOLE ELEMENTAIRE PUBLIQUE FONTONNE (LA)";"ANTIBES";"NICE";"Grands centres urbains";"PUBLIC";0;12;302
"1611";"0060163V";"ECOLE MATERNELLE PUBLIQUE RENOIR MAT";"CAGNES-SUR-MER";"NICE";"Grands centres urbains";"PUBLIC";0;7;202
"1636";"0060205R";"ECOLE ELEMENTAIRE PUBLIQUE PASTEUR";"LE CANNET";"NICE";"Grands centres urbains";"PUBLIC";0;10;259
"1659";"0060249N";"ECOLE PRIMAIRE PUBLIQUE ROMAINS";"FALICON";"NICE";"Ceintures urbaines";"PUBLIC";0;7;166
"1680";"0060296P";"ECOLE PRIMAIRE PUBLIQUE BARRAYA";"LUCERAM";"NICE";"Bourgs ruraux";"PUBLIC";0;3;71
"1699";"0060344S";"ECOLE ELEMENTAIRE PUBLIQUE DIGUE DES FRANCAIS 1";"NICE";"NICE";"Grands centres urbains";"PUBLIC";1;12;220
"1762";"0060465Y";"ECOLE MATERNELLE PUBLIQUE SAINT CHARLES MAT";"NICE";"NICE";"Grands centres urbains";"PUBLIC";1;9;149
"1763";"0060466Z";"ECOLE ELEMENTAIRE PUBLIQUE SAINT ROCH 1";"NICE";"NICE";"Grands centres urbains";"PUBLIC";0;9;187
"1836";"0060768C";"ECOLE MATERNELLE PUBLIQUE SAINT-GEORGES MAT";"VILLENEUVE-LOUBET";"NICE";"Grands centres urbains";"PUBLIC";0;4;114
"1903";"0061098L";"ECOLE PRIMAIRE PUBLIQUE DAUDET";"MENTON";"NICE";"Centres urbains intermédiaires";"PUBLIC";0;4;103
"1911";"0061111A";"ECOLE ELEMENTAIRE PUBLIQUE MISTRAL";"CANNES";"NICE";"Grands centres urbains";"PUBLIC";0;7;171
"1944";"0061208F";"ECOLE PRIMAIRE PRIVEE SAINT BARTHELEMY";"NICE";"NICE";"Grands centres urbains";"PRIVE";0;12;360
"1961";"0061273B";"ECOLE MATERNELLE PUBLIQUE ORCHIDEES MAT";"NICE";"NICE";"Grands centres urbains";"PUBLIC";1;4;62
"1979";"0061356S";"ECOLE MATERNELLE PUBLIQUE EAU VIVE MAT (L')";"GRASSE";"NICE";"Centres urbains intermédiaires";"PUBLIC";0;5;111
"2063";"0061682W";"ECOLE PRIMAIRE PRIVEE ABC SCHOOL";"NICE";"NICE";"Grands centres urbains";"PRIVE";0;9;164
