"";"code_ecole";"nom_ecole";"commune";"academie";"densite";"secteur";"rep";"classes";"eleves"
"85";"0010287G";"ECOLE PRIMAIRE PRIVEE STE MARIE";"BOURG-EN-BRESSE";"LYON";"Centres urbains intermédiaires";"PRIVE";0;8;194
"155";"0010476M";"ECOLE PRIMAIRE PUBLIQUE -";"SAINTE-JULIE";"LYON";"Bourgs ruraux";"PUBLIC";0;5;111
"159";"0010487Z";"ECOLE PRIMAIRE PUBLIQUE -";"LHUIS";"LYON";"Rural à habitat dispersé";"PUBLIC";0;3;60
"250";"0010737W";"ECOLE PRIMAIRE PUBLIQUE DU VIEUX CHENE";"GORREVOD";"LYON";"Bourgs ruraux";"PUBLIC";0;4;74
"260";"0010762Y";"ECOLE PRIMAIRE PUBLIQUE -";"LENT";"LYON";"Bourgs ruraux";"PUBLIC";0;6;133
"412";"0011216S";"ECOLE PRIMAIRE PUBLIQUE DU MOULIN";"VAL-REVERMONT";"LYON";"Rural à habitat dispersé";"PUBLIC";0;9;209
"475";"0011406Y";"ECOLE PRIMAIRE PUBLIQUE GUY DE MAUPASSANT";"DIVONNE-LES-BAINS";"LYON";"Ceintures urbaines";"PUBLIC";0;15;395
"560";"0020519D";"ECOLE PRIMAIRE PUBLIQUE -";"FLAVIGNY-LE-GRAND-ET-BEAURAIN";"AMIENS";"Rural à habitat dispersé";"PUBLIC";1;2;28
"573";"0020583Y";"ECOLE PRIMAIRE PUBLIQUE JAMES SMALES";"COUVRON-ET-AUMENCOURT";"AMIENS";"Bourgs ruraux";"PUBLIC";0;4;87
"679";"0021094D";"ECOLE PRIMAIRE PUBLIQUE ALBERT SCHWEITZER";"GUISE";"AMIENS";"Bourgs ruraux";"PUBLIC";1;4;72
"710";"0021256E";"ECOLE ELEMENTAIRE PUBLIQUE -";"LA VALLEE-AU-BLE";"AMIENS";"Rural à habitat dispersé";"PUBLIC";0;2;45
"720";"0021322B";"ECOLE PRIMAIRE PUBLIQUE -";"VILLEQUIER-AUMONT";"AMIENS";"Rural à habitat dispersé";"PUBLIC";0;2;42
"728";"0021339V";"ECOLE PRIMAIRE PUBLIQUE -";"VILLERS-SUR-FERE";"AMIENS";"Rural à habitat dispersé";"PUBLIC";1;3;49
"789";"0021584L";"ECOLE PRIMAIRE PUBLIQUE -";"AMIGNY-ROUY";"AMIENS";"Bourgs ruraux";"PUBLIC";0;4;71
"803";"0021611R";"ECOLE PRIMAIRE PRIVEE DE L ENFANT JESUS";"HIRSON";"AMIENS";"Petites villes";"PRIVE";0;8;181
